"id";"nome";"descrizione";"prezzo";"img";"tipo";"colore";"data_inserimento";"genere"
"AB001";"Felpa THOTS";"Una felpa dal futuro, tipo, con colori chiari, no, per tutti quanti, per nulla";20.0;"AB001_Felpa-THOTS.png";"maglia";"bianco nero";"2017-06-29";"f"
"AB002";"Camicia pattern";"Tanti disegnini sulla camicia, fa assai casual e assai professionale allo stesso momento";9.0;"AB002_Camicia-pattern.png";"maglia";"blu";"2017-07-15";"m"
"AB003";"Polo pattern";"Pattern dal futuro per questa polo scura";14.0;"AB003_Polo-pattern.png";"maglia";"nero";"2017-06-06";"m"
"AB004";"Maglia motivo";"È così retro che davvero non so come altro definirla";9.0;"AB004_Maglia-motivo.png";"maglia";"blu rosso";"2017-07-09";"m"
"AB005";"Felpa scritta";"Una simpatica scritta dietro la schiena per far passare ogni voglia agli altri di fare conoscenza";12.0;"AB005_Felpa-scritta.png";"maglia";"bianco blu";"2017-06-25";"f"
"AB006";"Blazer rosso";"Una maglia o un giubotto? mhhhh tutto quello che so è che c'è un episodio dei simpson con questo dentro";19.0;"AB006_Blazer-rosso.png";"maglia";"rosso";"2017-07-05";"f"
"AB007";"Maglia camouflage";"Come andare in guerra ma senza la scocciatura del morire";9.0;"AB007_Maglia-camouflage.png";"maglia";"nero verde";"2017-07-07";"f"
"AB008";"Maglia pattern";"Una maglia bianca con sopra dei disegnini a caso a tema tropico, ne vendiamo a pacchi quindi direi che alla gente piacciono";14.0;"AB008_Maglia-pattern.png";"maglia";"bianco arancione";"2017-06-10";"u"
"AB009";"Maglia scritta";"Una scritta davanti e passa la paura, di cosa? Non lo so non ho più idee da scrivere";9.0;"AB009_Maglia-scritta.png";"maglia";"bianco blu";"2017-05-12";"f"
"AB010";"Maglia pattern tropicale";"Una maglia verde con un pattern di oggetti tropicali, fa molto figo assai";14.0;"AB010_Maglia-pattern-tropicale.png";"maglia";"verde";"2017-07-20";"f"
"AB011";"Felpa nera void";"La fepa più nera in vendita sul pianeta terra";19.0;"AB011_Felpa-nera-void.png";"maglia";"nero";"2017-07-24";"u"
"AB012";"Maglia a righe scura";"IDENTICA a quella chiara ma questa è scura";9.0;"AB012_Maglia-a-righe-scura.png";"maglia";"bianco nero";"2017-07-19";"u"
"AB013";"Maglia a righe chiara";"IDENTICA a quella scura ma questa è chiara";9.0;"AB013_Maglia-a-righe-chiara.png";"maglia";"bianco blu";"2017-07-20";"u"
"AC001";"Borsa ed Orologio da Polso VINTAGE";"Borsa ed Orologio da Polso, classico design di altri tempi ad un prezzo sconsiderato";74.0;"AC001_Borsa-ed-Orologio-da-Polso-VINTAGE.png";"accessorio";"nero giallo";"2017-06-29";"f"
"AC002";"Zaino da trekking";"Un comodo zaino da trekking in vera falsa pelle. Solo il meglio per le tue vacanze in montagna!";39.0;"AC002_Zaino-da-trekking.png";"accessorio";"blu";"2017-06-27";"u"
"AC003";"Occhiali scuri";"Tipo quelli di matrix ma molto meglio, potremo anche vendere quel cappotto che è tanto bellino eh";10.0;"AC003_Occhiali-scuri.png";"accessorio";"nero";"2017-06-28";"m"
"AC004";"Zaino nero";"Scurissimo tipo buco nero, ma senza razzismo";40.0;"AC004_Zaino-nero.png";"accessorio";"nero";"2017-07-16";"u"
"AC005";"Zaino in pelle";"Uno zaino nero in pelle, assai bruttino se devo dire la mia";19.0;"AC005_Zaino-in-pelle.png";"accessorio";"nero";"2017-07-05";"u"
"AC006";"Bandana righe";"Una bandana a righe bianche e blu, fa molto retro senza alcuna ragione";9.0;"AC006_Bandana-righe.png";"accessorio";"bianco blu";"2017-07-20";"f"
"AC007";"Giubotto demin";"Va tra gli accessori o fra le maglie? Avrei dovuto creare un intera nuova categoria solo per questo oggetto?";19.0;"AC007_Giubotto-demin.png";"accessorio";"blu";"2017-07-20";"f"
"AC008";"Occhiali trasparenti";"Se devi far finta di portare gli occhiali, puoi sempre comprare questi";19.0;"AC008_Occhiali-trasparenti.png";"accessorio";"bianco";"2017-07-21";"f"
"CO001";"Completo blu";"Un completo blu per ogni occasione MENO i funerali. Li forse è meglio di no";89.0;"CO001_Completo-blu.png";"completo";"blu";"2017-07-20";"f"
"CO002";"Completo egiziano";"Un completo stile egiziano, perchè le cose belle non passano mai di moda (tranne questo completo)!";99.0;"CO002_Completo-egiziano.png";"completo";"blu";"2017-03-09";"f"
"CO003";"Completo demin";"Sembrano jeans strappati e buttati alla rinfusa. È esattamente così";79.0;"CO003_Completo-demin.png";"completo";"bianco blu";"2017-06-29";"f"
"PA001";"Jeans strappati";"Proprio come la moda di qualche anno fa, sempre un passo avanti!";19.0;"PA001_Jeans-strappati.png";"pantalone";"bianco blu";"2016-06-06";"m"
"PA002";"Pantaloni con risvolto";"NB: I pantaloni sono venduti senza risvolto, fattelo da solo";14.0;"PA002_Pantaloni-con-risvolto.png";"pantalone";"bianco";"2017-07-12";"m"
"PA003";"Gonna righe";"Una gonna a righe, va bene ovunque tranne davanti ad un obiettivo";14.0;"PA003_Gonna-righe.png";"pantalone";"bianco blu";"2017-07-06";"f"
